Entry	Entry name	Status	Protein names	Gene names	Organism	Gene ontology (biological process)	Cross-reference (STRING)
Q8YEW1	Q8YEW1_BRUME	unreviewed	Sulfite reductase (Ferredoxin) (EC 1.8.7.1)	BMEI1766	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_0469;
Q8YID2	Q8YID2_BRUME	unreviewed	Thioredoxin reductase (EC 1.8.1.9)	BMEI0512	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	removal of superoxide radicals [GO:0019430]	224914.BAWG_2493;
Q8YJQ0	Q8YJQ0_BRUME	unreviewed	3-oxoacyl-(Acyl-carrier protein) reductase (EC 1.1.1.100)	BMEI0032	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_0159;
Q8YE98	Q8YE98_BRUME	unreviewed	DNA protection during starvation protein	BMEI1980	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	cellular iron ion homeostasis [GO:0006879]	224914.BAWG_0265;
Q8YBR8	Q8YBR8_BRUME	unreviewed	Acyl-CoA dehydrogenase, short-chain specific (EC 1.3.8.1)	BMEII0818	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_1766;
Q8YDP2	Q8YDP2_BRUME	unreviewed	Homoprotocatechuate degradative operon repressor	BMEII0133	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	negative regulation of transcription, DNA-templated [GO:0045892]; phenylacetate catabolic process [GO:0010124]	224914.BAWG_1341;
Q8YIP2	Q8YIP2_BRUME	unreviewed	Uncharacterized protein	BMEI0401	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	lipid catabolic process [GO:0016042]	224914.BAWG_2382;
Q8YGB8	Q8YGB8_BRUME	unreviewed	Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2) (5'-phosphoribosylglycinamide transformylase) (GAR transformylase) (GART)	purN BMEI1241	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	'de novo' IMP biosynthetic process [GO:0006189]	224914.BAWG_0970;
Q8YGU4	Q8YGU4_BRUME	unreviewed	Biotin carboxylase (EC 6.3.4.14) (EC 6.4.1.2)	BMEI1063	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_1146;
Q8YHX9	Q8YHX9_BRUME	unreviewed	Short-chain dehydrogenase	BMEI0666	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_2638;
Q8YH77	Q8YH77_BRUME	unreviewed	Multidrug resistance protein b	BMEI0927	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_1277;
Q8YJ07	Q8YJ07_BRUME	unreviewed	RNA polymerase sigma-32 factor	BMEI0280	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	DNA-templated transcription, initiation [GO:0006352]	224914.BAWG_2954;
Q8YED8	Q8YED8_BRUME	unreviewed	Molybdopterin biosynthesis moeb protein	BMEI1940	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_0303;
Q8YIK9	Q8YIK9_BRUME	unreviewed	Dipeptide transport system permease protein dppb	BMEI0435	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	transmembrane transport [GO:0055085]	224914.BAWG_2412;
Q8YGR2	Q8YGR2_BRUME	unreviewed	Succinoglycan biosynthesis protein exoi	BMEI1096	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_1113;
Q8YD39	Q8YD39_BRUME	unreviewed	Lipoprotein	BMEII0338	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_2224;
Q8YBT3	Q8YBT3_BRUME	unreviewed	Multidrug resistance protein a	BMEII0803	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_1781;
Q8YC69	Q8YC69_BRUME	unreviewed	Phosphohydrolase (Mutt/nudix family protein)	BMEII0663	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_1914;
Q8YEZ0	Q8YEZ0_BRUME	unreviewed	Thiamine-binding protein	BMEI1737	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	thiamine biosynthetic process [GO:0009228]	224914.BAWG_0496;
Q8YDC2	Q8YDC2_BRUME	unreviewed	Glutathione s-transferase (EC 2.5.1.18)	BMEII0256	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_2301;
Q8YDG5	Q8YDG5_BRUME	unreviewed	Penicillin acylase (EC 3.5.1.11)	BMEII0211	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	antibiotic biosynthetic process [GO:0017000]	224914.BAWG_2355;
Q8YB21	Q8YB21_BRUME	unreviewed	Flagellar biosynthetic protein FliP	fliP BMEII1080	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	bacterial-type flagellum organization [GO:0044781]; protein secretion [GO:0009306]	224914.BAWG_1524;
Q8YCK8	Q8YCK8_BRUME	unreviewed	Transcriptional regulator, marr family	BMEII0520	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_2051;
Q8YCL0	Q8YCL0_BRUME	unreviewed	Transcriptional regulator azlb	BMEII0518	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	transcription, DNA-templated [GO:0006351]	224914.BAWG_2053;
Q8YIP1	Q8YIP1_BRUME	unreviewed	31 kDa outer-membrane immunogenic protein	BMEI0402	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_2383;
Q8YHU0	Q8YHU0_BRUME	unreviewed	Cobc protein	BMEI0706	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	cobalamin biosynthetic process [GO:0009236]	224914.BAWG_2679;
Q8YG68	Q8YG68_BRUME	unreviewed	Coproporphyrinogen-III oxidase (EC 1.3.98.3)	BMEI1293	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	protoporphyrinogen IX biosynthetic process [GO:0006782]	224914.BAWG_0920;
Q8YDQ9	Q8YDQ9_BRUME	unreviewed	Transcriptional regulator, gntr family	BMEII0116	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	transcription, DNA-templated [GO:0006351]	224914.BAWG_1357;
Q8YBY6	Q8YBY6_BRUME	unreviewed	Maltose/maltodextrin transport ATP-binding protein malk	BMEII0750	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_1835;
Q8YG04	Q8YG04_BRUME	unreviewed	Hypothetical cytosolic protein	BMEI1358	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		
Q8YFG1	Q8YFG1_BRUME	unreviewed	Outer membrane protein	BMEI1561	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	cell redox homeostasis [GO:0045454]	224914.BAWG_0665;
Q8YEY8	Q8YEY8_BRUME	unreviewed	Thiamine transport system permease protein thip	BMEI1739	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	transmembrane transport [GO:0055085]	224914.BAWG_0494;
Q8YD49	Q8YD49_BRUME	unreviewed	Nodulation protein n	BMEII0328	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_2231;
Q8YBS7	Q8YBS7_BRUME	unreviewed	Hypothetical membrane spanning protein	BMEII0809	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_1775;
Q8YG42	Q8YG42_BRUME	unreviewed	Electron transfer flavoprotein-ubiquinone oxidoreductase (EC 1.5.5.1)	BMEI1320	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_0893;
Q8YHB1	Q8YHB1_BRUME	unreviewed	Transcriptional regulator, tetr family	BMEI0891	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_2862;
Q8YGQ2	Q8YGQ2_BRUME	unreviewed	Phnm protein	BMEI1106	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	organic phosphonate catabolic process [GO:0019700]	224914.BAWG_1103;
Q8YB79	Q8YB79_BRUME	unreviewed	Enoyl-CoA hydratase (EC 4.2.1.17)	BMEII1021	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_1579;
Q8YEX0	Q8YEX0_BRUME	unreviewed	Omega-amino acid-pyruvate aminotransferase (EC 2.6.1.18)	BMEI1757	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_0478;
Q8YBH7	Q8YBH7_BRUME	unreviewed	Spermidine/putrescine-binding periplasmic protein	BMEII0923	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_1669;
Q8YC70	Q8YC70_BRUME	unreviewed	Transporter, mfs superfamily	BMEII0662	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	transmembrane transport [GO:0055085]	224914.BAWG_1915;
Q8YC93	Q8YC93_BRUME	unreviewed	Transcriptional regulatory protein, lysr family	BMEII0639	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	3,4-dihydroxybenzoate catabolic process [GO:0019619]; positive regulation of transcription, DNA-templated [GO:0045893]; transcription, DNA-templated [GO:0006351]	224914.BAWG_1939;
Q8YB43	Q8YB43_BRUME	unreviewed	DNA-3-methyladenine glycosylase i (EC 3.2.2.20)	BMEII1058	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	base-excision repair [GO:0006284]	224914.BAWG_1545;
Q8YGL5	Q8YGL5_BRUME	unreviewed	Metal dependent hydrolase	BMEI1143	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_1066;
Q8YBS9	Q8YBS9_BRUME	unreviewed	Transcriptional regulator, gntr family	BMEII0807	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	transcription, DNA-templated [GO:0006351]	224914.BAWG_1777;
Q8YDV2	Q8YDV2_BRUME	unreviewed	Extracytoplasmic function alternative sigma factor	BMEII0072	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	DNA-templated transcription, initiation [GO:0006352]	224914.BAWG_1399;
Q8YDU4	Q8YDU4_BRUME	unreviewed	Enterobactin synthetase component d	BMEII0081	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	enterobactin biosynthetic process [GO:0009239]	224914.BAWG_1389;
Q8YHA6	Q8YHA6_BRUME	unreviewed	Transcriptional regulatory protein, lysr family	BMEI0896	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	transcription, DNA-templated [GO:0006351]	224914.BAWG_2866;
Q8YEU5	Q8YEU5_BRUME	unreviewed	Endonuclease III (EC 4.2.99.18) (DNA-(apurinic or apyrimidinic site) lyase)	nth BMEI1782	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	base-excision repair [GO:0006284]	224914.BAWG_0454;
Q8YBR1	Q8YBR1_BRUME	unreviewed	Glucose-1-phosphate cytidylyltransferase (EC 2.7.7.33)	BMEII0827	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	biosynthetic process [GO:0009058]	224914.BAWG_1758;
Q8YBZ7	Q8YBZ7_BRUME	unreviewed	Oligopeptide transport ATP-binding protein oppd	BMEII0738	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	peptide transport [GO:0015833]	224914.BAWG_1845;
Q8YG97	Q8YG97_BRUME	unreviewed	Putative permeases	BMEI1263	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	transmembrane transport [GO:0055085]	224914.BAWG_0947;
Q8YFS7	Q8YFS7_BRUME	unreviewed	2-haloalkanoic acid dehalogenase i (EC 3.8.1.2)	BMEI1443	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_0780;
Q8YAY6	Q8YAY6_BRUME	unreviewed	Uncharacterized protein	BMEII1115	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_1490;
Q8YHK6	Q8YHK6_BRUME	unreviewed	Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)	BMEI0791	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	isocitrate metabolic process [GO:0006102]; tricarboxylic acid cycle [GO:0006099]	224914.BAWG_2763;
Q8YDJ5	Q8YDJ5_BRUME	unreviewed	Rrf2 family protein	BMEII0180	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_1299;
Q8YFL5	Q8YFL5_BRUME	unreviewed	3,4-dihydroxy-2-butanone 4-phosphate synthase (DHBP synthase) (EC 4.1.99.12)	ribB BMEI1505	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	riboflavin biosynthetic process [GO:0009231]	224914.BAWG_0719;
Q8YHV1	Q8YHV1_BRUME	unreviewed	Cobn protein	BMEI0695	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	cobalamin biosynthetic process [GO:0009236]	224914.BAWG_2668;
Q8YI51	Q8YI51_BRUME	unreviewed	Chloramphenicol acetyltransferase (EC 2.3.1.28)	BMEI0594	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_2569;
F8WJP3	F8WJP3_BRUME	unreviewed	Uracil permease	BMEII0825	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_1761;
Q8YJK6	Q8YJK6_BRUME	unreviewed	Gamma-glutamylcyclotransferase (EC 4.3.2.-)	BMEI0077	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	glutathione catabolic process [GO:0006751]	224914.BAWG_0118;
Q8YIW6	Q8YIW6_BRUME	unreviewed	Probable transport ATP-binding protein msba	BMEI0323	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_2998;
Q8YFB5	Q8YFB5_BRUME	unreviewed	Glycerol metabolism activator	BMEI1607	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	phosphorelay signal transduction system [GO:0000160]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]	224914.BAWG_0618;
Q8YJQ8	Q8YJQ8_BRUME	unreviewed	L-sorbosone dehydrogenase, nad(P) dependent (EC 1.1.1.-)	BMEI0024	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_0165;
Q8YCC9	Q8YCC9_BRUME	unreviewed	Uncharacterized protein	BMEII0603	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_1971;
Q8YFM8	Q8YFM8_BRUME	unreviewed	Heavy metal tolerance protein	BMEI1492	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_0732;
Q8YBZ1	Q8YBZ1_BRUME	unreviewed	Dihydrolipoamide dehydrogenase (EC 1.8.1.4)	BMEII0745	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_1839;
Q8YGK6	Q8YGK6_BRUME	unreviewed	NADH-quinone oxidoreductase (EC 1.6.5.11)	BMEI1152	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	ATP synthesis coupled electron transport [GO:0042773]	224914.BAWG_1057;
Q8YGG3	Q8YGG3_BRUME	unreviewed	Enoyl-CoA hydratase (EC 4.2.1.17)	BMEI1196	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_1014;
Q8YFV2	Q8YFV2_BRUME	unreviewed	Transport permease protein	BMEI1415	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	transmembrane transport [GO:0055085]	
Q8YFE6	Q8YFE6_BRUME	unreviewed	Xanthine dehydrogenase (EC 1.17.1.4)	BMEI1576	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_0649;
Q9K5F1	Q9K5F1_BRUME	unreviewed	ATP-dependent clp protease ATP-binding subunit clpa	BMEI0816	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	protein unfolding [GO:0043335]	224914.BAWG_2790;
Q8YF04	Q8YF04_BRUME	unreviewed	Glutamate dehydrogenase	BMEI1723	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	cellular amino acid metabolic process [GO:0006520]	224914.BAWG_0510;
Q8YCR7	Q8YCR7_BRUME	unreviewed	Uncharacterized protein	BMEII0461	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_2106;
Q8YBQ5	Q8YBQ5_BRUME	unreviewed	Putative undecaprenyl-phosphate alpha-n-acetylglucosaminyltransferase (EC 2.4.1.-)	BMEII0839	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_1747;
Q8YFT2	Q8YFT2_BRUME	unreviewed	Cobalt-zinc-cadmium resistance protein czcd	BMEI1438	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_0786;
Q8YJE1	Q8YJE1_BRUME	unreviewed	Dihydrolipoyl dehydrogenase (EC 1.8.1.4)	BMEI0145	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	cell redox homeostasis [GO:0045454]	224914.BAWG_0051;
Q8YC87	Q8YC87_BRUME	unreviewed	3-oxoadipate CoA-transferase subunit b (EC 2.8.3.6)	BMEII0645	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_1933;
Q8YFZ8	Q8YFZ8_BRUME	unreviewed	Transcriptional regulatory protein mucr	BMEI1364	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	regulation of transcription, DNA-templated [GO:0006355]	224914.BAWG_0849;
Q8YEQ1	Q8YEQ1_BRUME	unreviewed	N-acyl-l-amino acid amidohydrolase (EC 3.5.1.14)	BMEI1827	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_0414;
Q8YCC4	Q8YCC4_BRUME	unreviewed	Aldehyde dehydrogenase (EC 1.2.1.3)	BMEII0608	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_1966;
Q8YGZ1	Q8YGZ1_BRUME	unreviewed	Cell wall degradation protein	BMEI1014	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_1194;
Q8YHD1	Q8YHD1_BRUME	unreviewed	Uncharacterized protein	BMEI0870	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_2841;
Q8YBJ8	Q8YBJ8_BRUME	unreviewed	Transcriptional regulatory protein, lysr family	BMEII0902	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	transcription, DNA-templated [GO:0006351]	
Q8YCU9	Q8YCU9_BRUME	unreviewed	Glycerol-3-phosphate dehydrogenase (EC 1.1.5.3)	BMEII0429	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	glycerol-3-phosphate metabolic process [GO:0006072]	224914.BAWG_2137;
Q8YB05	Q8YB05_BRUME	unreviewed	Putative tartrate transporter	BMEII1096	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	transmembrane transport [GO:0055085]	224914.BAWG_1508;
Q8YJP9	Q8YJP9_BRUME	unreviewed	N-acyl-l-amino acid amidohydrolase (EC 3.5.1.14)	BMEI0033	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_0158;
Q8YDV9	Q8YDV9_BRUME	unreviewed	High-affinity branched-chain amino acid transport ATP-binding protein livf	BMEII0065	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_1405;
Q8YC61	Q8YC61_BRUME	unreviewed	Acyl-CoA dehydrogenase (EC 1.3.8.-)	BMEII0671	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_1905;
Q8YHA3	Q8YHA3_BRUME	unreviewed	Phage-related DNA binding protein	BMEI0899	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_2869;
Q8YFZ4	Q8YFZ4_BRUME	unreviewed	2-haloalkanoic acid dehalogenase i (EC 3.8.1.2)	BMEI1368	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_0844;
Q8YFG2	Q8YFG2_BRUME	unreviewed	Salicylaldehyde dehydrogenase (EC 1.-.-.-)	BMEI1560	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_0666;
Q8YDX5	Q8YDX5_BRUME	unreviewed	N-formylglutamate deformylase (EC 3.5.1.68)	BMEII0049	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_1421;
Q8YAY7	Q8YAY7_BRUME	unreviewed	Flagellar biosynthetic protein FlhB	flhB BMEII1114	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	bacterial-type flagellum assembly [GO:0044780]; protein secretion [GO:0009306]	224914.BAWG_1491;
Q8YDM7	Q8YDM7_BRUME	unreviewed	Extracellular serine protease (EC 3.4.21.-)	BMEII0148	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_1328;
Q8YIZ5	Q8YIZ5_BRUME	unreviewed	Pyruvate kinase (EC 2.7.1.40)	BMEI0292	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_2967;
Q8YEI5	Q8YEI5_BRUME	unreviewed	Protein ybis	BMEI1893	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_0346;
Q8YCN3	Q8YCN3_BRUME	unreviewed	Acyl-CoA dehydrogenase (EC 1.3.8.-)	BMEII0495	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_2076;
Q8YJG7	Q8YJG7_BRUME	unreviewed	Transcriptional regulatory protein, lysr family	BMEI0116	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	transcription, DNA-templated [GO:0006351]	224914.BAWG_0076;
Q8YDF2	Q8YDF2_BRUME	unreviewed	Formyl-coenzyme a transferase (EC 2.8.3.-)	BMEII0224	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_2368;
Q8YCW5	Q8YCW5_BRUME	unreviewed	Citrate lyase beta chain / citryl-CoA lyase subunit (EC 4.1.3.34) (EC 4.1.3.6)	BMEII0413	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_2151;
Q8YFF3	Q8YFF3_BRUME	unreviewed	Nitrogen fixation protein fixi (E1-e2 type cation atpase fixi) (EC 3.6.1.-)	BMEI1569	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	metal ion transport [GO:0030001]	224914.BAWG_0657;
Q8YEF3	Q8YEF3_BRUME	unreviewed	Acetyl-CoA carboxylase alpha chain / propionyl-CoA carboxylase alpha chain (EC 6.4.1.2) (EC 6.4.1.3)	BMEI1925	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_0315;
Q8YHS3	Q8YHS3_BRUME	unreviewed	Uncharacterized protein	BMEI0723	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		
Q8YE75	Q8YE75_BRUME	unreviewed	Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase / d-xylose 1-dehydrogenase (Nadp+) (EC 1.1.1.179) (EC 1.3.1.20)	BMEI2003	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_0244;
F8WJP7	F8WJP7_BRUME	unreviewed	ATP synthase subunit c (ATP synthase F(0) sector subunit c) (F-type ATPase subunit c) (F-ATPase subunit c) (Lipid-binding protein)	atpE BMEI1545	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	ATP hydrolysis coupled proton transport [GO:0015991]; ATP synthesis coupled proton transport [GO:0015986]	224914.BAWG_0680;
Q8YGM4	Q8YGM4_BRUME	unreviewed	Extensin-like protein	BMEI1134	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_1075;
Q8YHB0	Q8YHB0_BRUME	unreviewed	Membrane fusion protein mtrc	BMEI0892	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	transmembrane transport [GO:0055085]	224914.BAWG_2863;
Q8YH31	Q8YH31_BRUME	unreviewed	Uncharacterized protein	BMEI0973	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_1231;
Q8YIU7	Q8YIU7_BRUME	unreviewed	Heat resistant agglutinin 1	BMEI0345	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_3022;
Q8YHQ6	Q8YHQ6_BRUME	unreviewed	Inosine-5'-monophosphate dehydrogenase (EC 1.1.1.205)	BMEI0740	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_2714;
Q8YBX9	Q8YBX9_BRUME	unreviewed	Transcriptional regulator, gntr family	BMEII0757	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	transcription, DNA-templated [GO:0006351]	224914.BAWG_1828;
Q8YJR0	Q8YJR0_BRUME	unreviewed	3-hydroxybutyryl-CoA dehydratase (EC 4.2.1.55)	BMEI0022	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_0167;
Q8YFX7	Q8YFX7_BRUME	unreviewed	Laci-family transcription regulator	BMEI1385	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]	224914.BAWG_0827;
Q8YDY2	Q8YDY2_BRUME	unreviewed	Heat shock protein a	BMEII0042	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_1425;
Q8YFY6	Q8YFY6_BRUME	unreviewed	Death on curing protein	BMEI1376	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_0836;
Q8YF05	Q8YF05_BRUME	unreviewed	Sarcosine oxidase beta subunit (EC 1.5.3.1)	BMEI1722	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	tetrahydrofolate metabolic process [GO:0046653]	224914.BAWG_0511;
Q8YBH8	Q8YBH8_BRUME	unreviewed	Spermidine/putrescine import ATP-binding protein PotA (EC 3.6.3.31)	potA BMEII0922	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_1670;
Q8YF84	Q8YF84_BRUME	unreviewed	Glutamate synthase (Nadph) small chain (EC 1.4.1.13)	BMEI1638	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_0588;
